pscore,model,method,specialty,horizon_range
5.009224238270926,lgb,Multi,adm_general_medicine,8-14
6.913826224280337,lgb,Multi,adm_general_medicine,8-14
4.748669215542861,lgb,Multi,adm_general_medicine,8-14
6.350608320027037,lgb,Multi,adm_general_medicine,8-14
5.177909542031435,lgb,Multi,adm_general_medicine,8-14
4.272399183380356,lgb,Multi,adm_general_medicine,8-14
5.4466210928400995,lgb,Multi,adm_general_medicine,8-14
4.233895812681136,lgb,Multi,adm_general_medicine,8-14
4.0921076869063455,lgb,Multi,adm_general_medicine,8-14
8.033465404981404,lgb,Multi,adm_general_medicine,8-14
3.3967931171847026,lgb,Multi,adm_general_medicine,8-14
6.060981112329175,lgb,Multi,adm_general_medicine,8-14
4.101951781580266,lgb,Multi,adm_general_medicine,8-14
8.445985892371771,lgb,Multi,adm_general_medicine,8-14
3.8897314147647024,lgb,Multi,adm_general_medicine,8-14
7.31249556924822,lgb,Multi,adm_general_medicine,8-14
4.209978256836125,lgb,Multi,adm_general_medicine,8-14
5.655900035915974,lgb,Multi,adm_general_medicine,8-14
3.395368944324409,lgb,Multi,adm_general_medicine,8-14
3.593667673685697,lgb,Multi,adm_general_medicine,8-14
6.115559040417817,lgb,Multi,adm_general_medicine,8-14
6.981663281220411,lgb,Multi,adm_general_medicine,8-14
6.5900864421075385,lgb,Multi,adm_general_medicine,8-14
4.003900129310682,lgb,Single,adm_general_medicine,15-21
4.051775429333711,lgb,Single,adm_general_medicine,15-21
5.69718960539864,lgb,Single,adm_general_medicine,15-21
5.533133359750883,lgb,Single,adm_general_medicine,15-21
8.722559755748371,lgb,Single,adm_general_medicine,15-21
3.602068450384702,lgb,Single,adm_general_medicine,15-21
10.830630094680336,lgb,Single,adm_general_medicine,15-21
6.64680174250603,lgb,Single,adm_general_medicine,15-21
9.648390894490188,lgb,Single,adm_general_medicine,15-21
10.35588286617144,lgb,Single,adm_general_medicine,15-21
6.9424579211567305,lgb,Single,adm_general_medicine,15-21
5.411510497488931,lgb,Single,adm_general_medicine,15-21
2.878255877717645,lgb,Single,adm_general_medicine,15-21
4.2807360697008106,lgb,Single,adm_general_medicine,15-21
3.802926215724682,lgb,Single,adm_general_medicine,15-21
9.056501121255014,lgb,Single,adm_general_medicine,15-21
2.8703527611178967,lgb,Single,adm_general_medicine,15-21
4.281618511465511,lgb,Single,adm_general_medicine,15-21
4.0134997577240155,lgb,Single,adm_general_medicine,15-21
6.260509905389687,lgb,Single,adm_general_medicine,15-21
4.955264506086242,lgb,Single,adm_general_medicine,15-21
5.519444561706705,lgb,Single,adm_general_medicine,15-21
4.401231840156443,lgb,Single,adm_general_medicine,15-21
6.386477118488149,lgb,Single,adm_general_medicine,15-21
7.152639482164999,lgb,Single,adm_general_medicine,15-21
3.9285757905331598,lgb,Single,adm_general_medicine,15-21
8.168207815568213,lgb,Single,adm_general_medicine,15-21
12.00034843645077,lgb,Single,adm_general_medicine,15-21
5.206260276632318,lgb,Single,adm_general_medicine,15-21
2.3985525903682943,lgb,Single,adm_general_medicine,15-21
4.37352802553434,lgb,Multi,adm_general_medicine,15-21
6.149611601768294,lgb,Multi,adm_general_medicine,15-21
6.671193798382153,lgb,Multi,adm_general_medicine,15-21
5.52238018928206,lgb,Multi,adm_general_medicine,15-21
10.285388186373652,lgb,Multi,adm_general_medicine,15-21
4.104025109150727,lgb,Multi,adm_general_medicine,15-21
