code,HRG 1,Code Description
A000,FD01,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,FD01,"Cholera due to Vibrio cholerae 01, biovar eltor"
A009,FD01,"Cholera, unspecified"
A010,FD01,Typhoid fever
A011,FD01,Paratyphoid fever A
A012,FD01,Paratyphoid fever B
A013,FD01,Paratyphoid fever C
A014,FD01,"Paratyphoid fever, unspecified"
A020,FD01,Salmonella enteritis
A021,FD01,Salmonella sepsis
A022,FD01,Localized salmonella infections
A028,FD01,Other specified salmonella infections
A029,FD01,"Salmonella infection, unspecified"
A030,FD01,Shigellosis due to Shigella dysenteriae
A031,FD01,Shigellosis due to Shigella flexneri
A032,FD01,Shigellosis due to Shigella boydii
A033,FD01,Shigellosis due to Shigella sonnei
A038,FD01,Other shigellosis
A039,FD01,"Shigellosis, unspecified"
A040,FD01,Enteropathogenic Escherichia coli infection
A041,FD01,Enterotoxigenic Escherichia coli infection
A042,FD01,Enteroinvasive Escherichia coli infection
A043,FD01,Enterohaemorrhagic Escherichia coli infection
A044,FD01,Other intestinal Escherichia coli infections
A045,FD01,Campylobacter enteritis
A046,FD01,Enteritis due to Yersinia enterocolitica
A047,FD01,Enterocolitis due to Clostridium difficile
A048,FD01,Other specified bacterial intestinal infections
A049,FD01,"Bacterial intestinal infection, unspecified"
A050,FD01,Foodborne staphylococcal intoxication
A051,FD01,Botulism
A052,FD01,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,FD01,Foodborne Vibrio parahaemolyticus intoxication
A054,FD01,Foodborne Bacillus cereus intoxication
A058,FD01,Other specified bacterial foodborne intoxications
A059,FD01,"Bacterial foodborne intoxication, unspecified"
A060,FD01,Acute amoebic dysentery
A061,FD01,Chronic intestinal amoebiasis
A062,FD01,Amoebic nondysenteric colitis
A063,FD01,Amoeboma of intestine
A064,GC17,Amoebic liver abscess
A065,DZ10,Amoebic lung abscess
A066,AA22,Amoebic brain abscess
A067,WJ01,Cutaneous amoebiasis
A068,FD01,Amoebic infection of other sites
A069,FD01,"Amoebiasis, unspecified"
A070,FD01,Balantidiasis
A071,FD01,Giardiasis [lambliasis]
A072,FD01,Cryptosporidiosis
A073,FD01,Isosporiasis
A078,FD01,Other specified protozoal intestinal diseases
A079,FD01,"Protozoal intestinal disease, unspecified"
A080,FD01,Rotaviral enteritis
A081,FD01,Acute gastroenteropathy due to Norwalk agent
A082,FD01,Adenoviral enteritis
A083,FD01,Other viral enteritis
A084,FD01,"Viral intestinal infection, unspecified"
A085,FD01,Other specified intestinal infections
A090,FD01,Other and unspecified gastroenteritis and colitis of infectious origin
A099,FD01,Gastroenteritis and colitis of unspecified origin
A150,DZ51,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A151,DZ51,"Tuberculosis of lung, confirmed by culture only"
A152,DZ51,"Tuberculosis of lung, confirmed histologically"
A153,DZ51,"Tuberculosis of lung, confirmed by unspecified means"
A154,DZ51,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A155,DZ51,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A156,DZ51,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A157,DZ51,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A158,DZ51,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A159,DZ51,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A160,DZ51,"Tuberculosis of lung, bacteriologically and histologically negative"
A161,DZ51,"Tuberculosis of lung, bacteriological and histological examination not done"
A162,DZ51,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A163,DZ51,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A164,DZ51,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A165,DZ51,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A167,DZ51,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A168,DZ51,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A169,DZ51,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A170,DZ51,Tuberculous meningitis
A171,DZ51,Meningeal tuberculoma
A178,DZ51,Other tuberculosis of nervous system
A179,DZ51,"Tuberculosis of nervous system, unspecified"
A180,DZ51,Tuberculosis of bones and joints
A181,DZ51,Tuberculosis of genitourinary system
A182,DZ51,Tuberculous peripheral lymphadenopathy
A183,DZ51,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,DZ51,Tuberculosis of skin and subcutaneous tissue
A185,DZ51,Tuberculosis of eye
A186,DZ51,Tuberculosis of ear
A187,DZ51,Tuberculosis of adrenal glands
A188,DZ51,Tuberculosis of other specified organs
A190,DZ51,Acute miliary tuberculosis of a single specified site
A191,DZ51,Acute miliary tuberculosis of multiple sites
A192,DZ51,"Acute miliary tuberculosis, unspecified"
A198,DZ51,Other miliary tuberculosis
A199,DZ51,"Miliary tuberculosis, unspecified"
A200,WJ01,Bubonic plague
A201,WJ01,Cellulocutaneous plague
A202,WJ01,Pneumonic plague
A203,WJ01,Plague meningitis
A207,WJ06,Septicaemic plague
A208,WJ01,Other forms of plague
A209,WJ01,"Plague, unspecified"
A210,WJ01,Ulceroglandular tularaemia
A211,WJ01,Oculoglandular tularaemia
A212,WJ01,Pulmonary tularaemia
A213,WJ01,Gastrointestinal tularaemia
A217,WJ01,Generalized tularaemia
A218,WJ01,Other forms of tularaemia
A219,WJ01,"Tularaemia, unspecified"
A220,WJ01,Cutaneous anthrax
A221,WJ01,Pulmonary anthrax
A222,FD01,Gastrointestinal anthrax
A227,WJ06,Anthrax sepsis
A228,WJ01,Other forms of anthrax
A229,WJ01,"Anthrax, unspecified"
A230,WJ01,Brucellosis due to Brucella melitensis
A231,WJ01,Brucellosis due to Brucella abortus
A232,WJ01,Brucellosis due to Brucella suis
A233,WJ01,Brucellosis due to Brucella canis
A238,WJ01,Other brucellosis
A239,WJ01,"Brucellosis, unspecified"
A240,WJ01,Glanders
A241,WJ01,Acute and fulminating melioidosis
A242,WJ01,Subacute and chronic melioidosis
A243,WJ01,Other melioidosis
A244,WJ01,"Melioidosis, unspecified"
A250,WJ01,Spirillosis
A251,WJ01,Streptobacillosis
A259,WJ01,"Rat-bite fever, unspecified"
A260,WJ03,Cutaneous erysipeloid
A267,WJ06,Erysipelothrix sepsis
A268,WJ03,Other forms of erysipeloid
A269,WJ03,"Erysipeloid, unspecified"
A270,WJ01,Leptospirosis icterohaemorrhagica
A278,WJ01,Other forms of leptospirosis
A279,WJ01,"Leptospirosis, unspecified"
A280,WJ01,Pasteurellosis
A281,WJ01,Cat-scratch disease
A282,WJ01,Extraintestinal yersiniosis
A288,WJ01,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289,WJ01,"Zoonotic bacterial disease, unspecified"
A300,WJ01,Indeterminate leprosy
A301,WJ01,Tuberculoid leprosy
A302,WJ01,Borderline tuberculoid leprosy
A303,WJ01,Borderline leprosy
A304,WJ01,Borderline lepromatous leprosy
A305,WJ01,Lepromatous leprosy
A308,WJ01,Other forms of leprosy
A309,WJ01,"Leprosy, unspecified"
A310,DZ14,Pulmonary mycobacterial infection
A311,WJ01,Cutaneous mycobacterial infection
A318,WJ01,Other mycobacterial infections
A319,WJ01,"Mycobacterial infection, unspecified"
A320,WJ01,Cutaneous listeriosis
A321,AA22,Listerial meningitis and meningoencephalitis
A327,WJ06,Listerial sepsis
A328,WJ01,Other forms of listeriosis
A329,WJ01,"Listeriosis, unspecified"
A33X,UZ03,Tetanus neonatorum
A34X,NZ18,Obstetrical tetanus
A35X,WJ01,Other tetanus
A360,WJ02,Pharyngeal diphtheria
A361,CB02,Nasopharyngeal diphtheria
A362,CB02,Laryngeal diphtheria
A363,WJ02,Cutaneous diphtheria
A368,WJ02,Other diphtheria
A369,WJ02,"Diphtheria, unspecified"
A370,DZ22,Whooping cough due to Bordetella pertussis
A371,DZ22,Whooping cough due to Bordetella parapertussis
A378,DZ22,Whooping cough due to other Bordetella species
A379,DZ22,"Whooping cough, unspecified"
A38X,WJ03,Scarlet fever
A390,AA22,Meningococcal meningitis
A391,WJ06,Waterhouse-Friderichsen syndrome
A392,WJ06,Acute meningococcaemia
A393,WJ06,Chronic meningococcaemia
A394,WJ06,"Meningococcaemia, unspecified"
A395,EB14,Meningococcal heart disease
A398,AA22,Other meningococcal infections
A399,AA22,"Meningococcal infection, unspecified"
A400,WJ06,"Sepsis due to streptococcus, group A"
A401,WJ06,"Sepsis due to streptococcus, group B"
A402,WJ06,"Sepsis due to streptococcus, group D"
A403,WJ06,Sepsis due to Streptococcus pneumoniae
A408,WJ06,Other streptococcal sepsis
A409,WJ06,"Streptococcal sepsis, unspecified"
A410,WJ06,Sepsis due to Staphylococcus aureus
A411,WJ06,Sepsis due to other specified staphylococcus
A412,WJ06,Sepsis due to unspecified staphylococcus
A413,WJ06,Sepsis due to Haemophilus influenzae
A414,WJ06,Sepsis due to anaerobes
A415,WJ06,Sepsis due to other Gram-negative organisms
A418,WJ06,Other specified sepsis
A419,WJ06,"Sepsis, unspecified"
A420,DZ11,Pulmonary actinomycosis
A421,FD01,Abdominal actinomycosis
A422,WJ01,Cervicofacial actinomycosis
A427,WJ06,Actinomycotic sepsis
A428,WJ01,Other forms of actinomycosis
A429,WJ01,"Actinomycosis, unspecified"
A430,DZ11,Pulmonary nocardiosis
A431,WJ01,Cutaneous nocardiosis
A438,WJ01,Other forms of nocardiosis
A439,WJ01,"Nocardiosis, unspecified"
A440,WJ01,Systemic bartonellosis
A441,WJ01,Cutaneous and mucocutaneous bartonellosis
A448,WJ01,Other forms of bartonellosis
A449,WJ01,"Bartonellosis, unspecified"
A46X,WJ03,Erysipelas
A480,WJ01,Gas gangrene
A481,DZ11,Legionnaires disease
A482,WJ01,Nonpneumonic Legionnaires disease [Pontiac fever]
A483,WJ06,Toxic shock syndrome
A484,WJ01,Brazilian purpuric fever
A488,WJ03,Other specified bacterial diseases
A490,WJ03,"Staphylococcal infection, unspecified site"
A491,WJ03,"Streptococcal and enterococcal infection, unspecified site"
A492,WJ03,"Haemophilus influenzae infection, unspecified site"
A493,WJ03,"Mycoplasma infection, unspecified site"
A498,WJ03,Other bacterial infections of unspecified site
A499,WJ03,"Bacterial infection, unspecified"
A500,WJ04,"Early congenital syphilis, symptomatic"
A501,WJ04,"Early congenital syphilis, latent"
A502,WJ04,"Early congenital syphilis, unspecified"
A503,BZ24,Late congenital syphilitic oculopathy
A504,AA22,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,WJ04,"Other late congenital syphilis, symptomatic"
A506,WJ04,"Late congenital syphilis, latent"
A507,WJ04,"Late congenital syphilis, unspecified"
A509,WJ04,"Congenital syphilis, unspecified"
A510,WJ04,Primary genital syphilis
A511,WJ04,Primary anal syphilis
A512,WJ04,Primary syphilis of other sites
A513,WJ04,Secondary syphilis of skin and mucous membranes
A514,WJ04,Other secondary syphilis
A515,WJ04,"Early syphilis, latent"
A519,WJ04,"Early syphilis, unspecified"
A520,EB14,Cardiovascular syphilis
A521,AA22,Symptomatic neurosyphilis
A522,AA22,Asymptomatic neurosyphilis
A523,AA22,"Neurosyphilis, unspecified"
A527,WJ04,Other symptomatic late syphilis
A528,WJ04,"Late syphilis, latent"
A529,WJ04,"Late syphilis, unspecified"
A530,WJ04,"Latent syphilis, unspecified as early or late"
A539,WJ04,"Syphilis, unspecified"
A540,WJ04,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,WJ04,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,LA04,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A543,BZ24,Gonococcal infection of eye
A544,HD25,Gonococcal infection of musculoskeletal system
A545,CB02,Gonococcal pharyngitis
A546,FD01,Gonococcal infection of anus and rectum
A548,WJ04,Other gonococcal infections
A549,WJ04,"Gonococcal infection, unspecified"
A55X,WJ04,Chlamydial lymphogranuloma (venereum)
A560,WJ04,Chlamydial infection of lower genitourinary tract
A561,WJ04,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,WJ04,"Chlamydial infection of genitourinary tract, unspecified"
A563,WJ04,Chlamydial infection of anus and rectum
A564,WJ04,Chlamydial infection of pharynx
A568,WJ04,Sexually transmitted chlamydial infection of other sites
A57X,WJ04,Chancroid
A58X,WJ04,Granuloma inguinale
A590,WJ04,Urogenital trichomoniasis
A598,WJ04,Trichomoniasis of other sites
A599,WJ04,"Trichomoniasis, unspecified"
A600,WJ04,Herpesviral infection of genitalia and urogenital tract
A601,WJ04,Herpesviral infection of perianal skin and rectum
A609,WJ04,"Anogenital herpesviral infection, unspecified"
A630,WJ04,Anogenital (venereal) warts
A638,WJ04,Other specified predominantly sexually transmitted diseases
A64X,WJ04,Unspecified sexually transmitted disease
A65X,WJ04,Nonvenereal syphilis
A660,WJ01,Initial lesions of yaws
A661,WJ01,Multiple papillomata and wet crab yaws
A662,WJ01,Other early skin lesions of yaws
A663,WJ01,Hyperkeratosis of yaws
A664,WJ01,Gummata and ulcers of yaws
A665,WJ01,Gangosa
A666,WJ01,Bone and joint lesions of yaws
A667,WJ01,Other manifestations of yaws
A668,WJ01,Latent yaws
A669,WJ01,"Yaws, unspecified"
A670,WJ01,Primary lesions of pinta
A671,WJ01,Intermediate lesions of pinta
A672,WJ01,Late lesions of pinta
A673,WJ01,Mixed lesions of pinta
A679,WJ01,"Pinta, unspecified"
A680,WJ01,Louse-borne relapsing fever
A681,WJ01,Tick-borne relapsing fever
A689,WJ01,"Relapsing fever, unspecified"
A690,CB02,Necrotizing ulcerative stomatitis
A691,CB02,Other Vincent infections
A692,CB02,Lyme disease
A698,WJ01,Other specified spirochaetal infections
A699,FD01,"Spirochaetal infection, unspecified"
A70X,DZ11,Chlamydia psittaci infection
A710,BZ24,Initial stage of trachoma
A711,BZ24,Active stage of trachoma
A719,BZ24,"Trachoma, unspecified"
A740,BZ24,Chlamydial conjunctivitis
A748,WJ03,Other chlamydial diseases
A749,WJ03,"Chlamydial infection, unspecified"
A750,WJ01,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751,WJ01,Recrudescent typhus [Brill disease]
A752,WJ01,Typhus fever due to Rickettsia typhi
A753,WJ01,Typhus fever due to Rickettsia tsutsugamushi
A759,WJ01,"Typhus fever, unspecified"
A770,WJ01,Spotted fever due to Rickettsia rickettsii
A771,WJ01,Spotted fever due to Rickettsia conorii
A772,WJ01,Spotted fever due to Rickettsia sibirica
A773,WJ01,Spotted fever due to Rickettsia australis
A778,WJ01,Other spotted fevers
A779,WJ01,"Spotted fever, unspecified"
A78X,WJ02,Q fever
A790,WJ01,Trench fever
A791,WJ01,Rickettsialpox due to Rickettsia akari
A798,WJ01,Other specified rickettsioses
A799,WJ01,"Rickettsiosis, unspecified"
A800,AA22,"Acute paralytic poliomyelitis, vaccine-associated"
A801,AA22,"Acute paralytic poliomyelitis, wild virus, imported"
A802,AA22,"Acute paralytic poliomyelitis, wild virus, indigenous"
A803,AA22,"Acute paralytic poliomyelitis, other and unspecified"
A804,AA22,Acute nonparalytic poliomyelitis
A809,AA22,"Acute poliomyelitis, unspecified"
A810,WD02,Creutzfeldt-Jakob disease
A811,AA22,Subacute sclerosing panencephalitis
A812,AA22,Progressive multifocal leukoencephalopathy
A818,AA22,Other atypical virus infections of central nervous system
A819,AA22,"Atypical virus infection of central nervous system, unspecified"
A820,WJ01,Sylvatic rabies
A821,WJ01,Urban rabies
A829,WJ01,"Rabies, unspecified"
A830,AA22,Japanese encephalitis
A831,AA22,Western equine encephalitis
A832,AA22,Eastern equine encephalitis
A833,AA22,St Louis encephalitis
A834,AA22,Australian encephalitis
A835,AA22,California encephalitis
A836,AA22,Rocio virus disease
A838,AA22,Other mosquito-borne viral encephalitis
A839,AA22,"Mosquito-borne viral encephalitis, unspecified"
A840,AA22,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841,AA22,Central European tick-borne encephalitis
A848,AA22,Other tick-borne viral encephalitis
A849,AA22,"Tick-borne viral encephalitis, unspecified"
A850,AA22,Enteroviral encephalitis
A851,AA22,Adenoviral encephalitis
A852,AA22,"Arthropod-borne viral encephalitis, unspecified"
A858,AA22,Other specified viral encephalitis
A86X,AA22,Unspecified viral encephalitis
A870,AA22,Enteroviral meningitis
A871,AA22,Adenoviral meningitis
A872,AA22,Lymphocytic choriomeningitis
A878,AA22,Other viral meningitis
A879,AA22,"Viral meningitis, unspecified"
A880,AA22,Enteroviral exanthematous fever [Boston exanthem]
A881,WJ01,Epidemic vertigo
A888,AA22,Other specified viral infections of central nervous system
A89X,AA22,Unspecified viral infection of central nervous system
A920,WJ02,Chikungunya virus disease
A921,WJ01,O'nyong-nyong fever
A922,WJ01,Venezuelan equine fever
A923,WJ01,West Nile virus infection
A924,WJ01,Rift Valley fever
A928,WJ01,Other specified mosquito-borne viral fevers
A929,WJ01,"Mosquito-borne viral fever, unspecified"
A930,WJ01,Oropouche virus disease
A931,WJ02,Sandfly fever
A932,WJ01,Colorado tick fever
A938,WJ02,Other specified arthropod-borne viral fevers
A94X,WJ02,Unspecified arthropod-borne viral fever
A950,WJ01,Sylvatic yellow fever
A951,WJ01,Urban yellow fever
A959,WJ01,"Yellow fever, unspecified"
A960,WJ01,Junin haemorrhagic fever
A961,WJ01,Machupo haemorrhagic fever
A962,WJ01,Lassa fever
A968,WJ01,Other arenaviral haemorrhagic fevers
A969,WJ01,"Arenaviral haemorrhagic fever, unspecified"
A970,WJ03,Dengue without warning signs
A971,WJ01,Dengue with warning signs
A972,WJ01,Severe Dengue
A979,WJ03,"Dengue, unspecified"
A980,WJ01,Crimean-Congo haemorrhagic fever
A981,WJ01,Omsk haemorrhagic fever
A982,WJ01,Kyasanur Forest disease
A983,WJ01,Marburg virus disease
A984,WJ01,Ebola virus disease
A985,LA04,Haemorrhagic fever with renal syndrome
A988,WJ01,Other specified viral haemorrhagic fevers
A99X,WJ01,Unspecified viral haemorrhagic fever
B000,JD07,Eczema herpeticum
B001,JD07,Herpesviral vesicular dermatitis
B002,WJ03,Herpesviral gingivostomatitis and pharyngotonsillitis
B003,AA22,Herpesviral meningitis
B004,AA22,Herpesviral encephalitis
B005,BZ24,Herpesviral ocular disease
B007,WJ03,Disseminated herpesviral disease
B008,WJ03,Other forms of herpesviral infection
B009,WJ03,"Herpesviral infection, unspecified"
B010,JD07,Varicella meningitis
B011,JD07,Varicella encephalitis
B012,JD07,Varicella pneumonia
B018,WJ02,Varicella with other complications
B019,WJ03,Varicella without complication
B020,WJ01,Zoster encephalitis
B021,JD07,Zoster meningitis
B022,JD07,Zoster with other nervous system involvement
B023,BZ24,Zoster ocular disease
B027,JD07,Disseminated zoster
B028,JD07,Zoster with other complications
B029,JD07,Zoster without complication
B03X,WJ01,Smallpox
B04X,WJ01,Monkeypox
B050,AA22,Measles complicated by encephalitis
B051,AA22,Measles complicated by meningitis
B052,DZ11,Measles complicated by pneumonia
B053,CB02,Measles complicated by otitis media
B054,WJ02,Measles with intestinal complications
B058,WJ02,Measles with other complications
B059,WJ03,Measles without complication
B060,AA22,Rubella with neurological complications
B068,WJ03,Rubella with other complications
B069,WJ03,Rubella without complication
B07X,WJ03,Viral warts
B080,WJ03,Other orthopoxvirus infections
B081,WJ03,Molluscum contagiosum
B082,WJ03,Exanthema subitum [sixth disease]
B083,WJ03,Erythema infectiosum [fifth disease]
B084,WJ03,Enteroviral vesicular stomatitis with exanthem
B085,WJ03,Enteroviral vesicular pharyngitis
B088,WJ03,Other specified viral infections characterized by skin and mucous membrane lesions
B09X,WJ03,Unspecified viral infection characterized by skin and mucous membrane lesions
B150,GC01,Hepatitis A with hepatic coma
B159,GC17,Hepatitis A without hepatic coma
B160,GC01,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B161,GC17,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B162,GC01,Acute hepatitis B without delta-agent with hepatic coma
B169,GC17,Acute hepatitis B without delta-agent and without hepatic coma
B170,GC17,Acute delta-(super)infection of hepatitis B carrier
B171,GC17,Acute hepatitis C
B172,GC17,Acute hepatitis E
B178,GC17,Other specified acute viral hepatitis
B179,GC17,"Acute viral hepatitis, unspecified"
B180,GC17,Chronic viral hepatitis B with delta-agent
B181,GC17,Chronic viral hepatitis B without delta-agent
B182,GC17,Chronic viral hepatitis C
B188,GC17,Other chronic viral hepatitis
B189,GC17,"Chronic viral hepatitis, unspecified"
B190,GC01,Unspecified viral hepatitis with hepatic coma
B199,GC17,Unspecified viral hepatitis without hepatic coma
B200,WJ10,HIV disease resulting in mycobacterial infection
B201,WJ10,HIV disease resulting in other bacterial infections
B202,WJ10,HIV disease resulting in cytomegaloviral disease
B203,WJ10,HIV disease resulting in other viral infections
B204,WJ10,HIV disease resulting in candidiasis
B205,WJ10,HIV disease resulting in other mycoses
B206,WJ10,HIV disease resulting in Pneumocystis jirovecii pneumonia
B207,WJ10,HIV disease resulting in multiple infections
B208,WJ10,HIV disease resulting in other infectious and parasitic diseases
B209,WJ10,HIV disease resulting in unspecified infectious or parasitic disease
B210,WJ10,HIV disease resulting in Kaposi sarcoma
B211,WJ10,HIV disease resulting in Burkitt lymphoma
B212,WJ10,HIV disease resulting in other types of non-Hodgkin lymphoma
B213,WJ10,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B217,WJ10,HIV disease resulting in multiple malignant neoplasms
B218,WJ10,HIV disease resulting in other malignant neoplasms
B219,WJ10,HIV disease resulting in unspecified malignant neoplasm
B220,WJ10,HIV disease resulting in encephalopathy
B221,WJ10,HIV disease resulting in lymphoid interstitial pneumonitis
B222,WJ10,HIV disease resulting in wasting syndrome
B227,WJ10,HIV disease resulting in multiple diseases classified elsewhere
B230,WJ10,Acute HIV infection syndrome
B231,WJ10,HIV disease resulting in (persistent) generalized lymphadenopathy
B232,WJ10,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
B238,WJ10,HIV disease resulting in other specified conditions
B24X,WJ10,Unspecified human immunodeficiency virus [HIV] disease
B250,DZ11,Cytomegaloviral pneumonitis
B251,GC17,Cytomegaloviral hepatitis
B252,GC17,Cytomegaloviral pancreatitis
B258,WJ02,Other cytomegaloviral diseases
B259,WJ02,"Cytomegaloviral disease, unspecified"
B260,WJ03,Mumps orchitis
B261,AA22,Mumps meningitis
B262,AA22,Mumps encephalitis
B263,GC17,Mumps pancreatitis
B268,WJ03,Mumps with other complications
B269,WJ03,Mumps without complication
B270,WJ03,Gammaherpesviral mononucleosis
B271,WJ03,Cytomegaloviral mononucleosis
B278,WJ03,Other infectious mononucleosis
B279,WJ03,"Infectious mononucleosis, unspecified"
B300,BZ24,Keratoconjunctivitis due to adenovirus
B301,BZ24,Conjunctivitis due to adenovirus
B302,BZ24,Viral pharyngoconjunctivitis
B303,BZ24,Acute epidemic haemorrhagic conjunctivitis (enteroviral)
B308,BZ24,Other viral conjunctivitis
B309,BZ24,"Viral conjunctivitis, unspecified"
B330,WJ03,Epidemic myalgia
B331,WJ02,Ross River disease
B332,EB14,Viral carditis
B333,WJ01,"Retrovirus infections, not elsewhere classified"
B334,WJ01,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
B338,WJ02,Other specified viral diseases
B340,WJ03,"Adenovirus infection, unspecified site"
B341,WJ03,"Enterovirus infection, unspecified site"
B342,WJ03,"Coronavirus infection, unspecified site"
B343,WJ03,"Parvovirus infection, unspecified site"
B344,WJ03,"Papovavirus infection, unspecified site"
B348,WJ03,Other viral infections of unspecified site
B349,WJ03,"Viral infection, unspecified"
B350,WJ03,Tinea barbae and tinea capitis
B351,WJ03,Tinea unguium
B352,WJ03,Tinea manuum
B353,WJ03,Tinea pedis
B354,WJ03,Tinea corporis
B355,WJ03,Tinea imbricata
B356,WJ03,Tinea inguinalis [Tinea cruris]
B358,WJ03,Other dermatophytoses
B359,WJ03,"Dermatophytosis, unspecified"
B360,WJ03,Pityriasis versicolor
B361,WJ03,Tinea nigra
B362,WJ03,White piedra
B363,WJ03,Black piedra
B368,WJ03,Other specified superficial mycoses
B369,WJ03,"Superficial mycosis, unspecified"
B370,WJ03,Candidal stomatitis
B371,DZ11,Pulmonary candidiasis
B372,WJ03,Candidiasis of skin and nail
B373,WJ03,Candidiasis of vulva and vagina
B374,WJ03,Candidiasis of other urogenital sites
B375,AA22,Candidal meningitis
B376,EB02,Candidal endocarditis
B377,WJ06,Candidal sepsis
B378,WJ03,Candidiasis of other sites
B379,WJ03,"Candidiasis, unspecified"
B380,WJ01,Acute pulmonary coccidioidomycosis
B381,WJ01,Chronic pulmonary coccidioidomycosis
B382,WJ01,"Pulmonary coccidioidomycosis, unspecified"
B383,WJ01,Cutaneous coccidioidomycosis
B384,WJ01,Coccidioidomycosis meningitis
B387,WJ01,Disseminated coccidioidomycosis
B388,WJ01,Other forms of coccidioidomycosis
B389,WJ01,"Coccidioidomycosis, unspecified"
B390,DZ11,Acute pulmonary histoplasmosis capsulati
B391,DZ11,Chronic pulmonary histoplasmosis capsulati
B392,DZ11,"Pulmonary histoplasmosis capsulati, unspecified"
B393,DZ11,Disseminated histoplasmosis capsulati
B394,DZ11,"Histoplasmosis capsulati, unspecified"
B395,DZ11,Histoplasmosis duboisii
B399,DZ11,"Histoplasmosis, unspecified"
B400,WJ01,Acute pulmonary blastomycosis
B401,WJ01,Chronic pulmonary blastomycosis
B402,WJ01,"Pulmonary blastomycosis, unspecified"
B403,WJ01,Cutaneous blastomycosis
B407,WJ01,Disseminated blastomycosis
B408,WJ01,Other forms of blastomycosis
B409,WJ01,"Blastomycosis, unspecified"
B410,WJ01,Pulmonary paracoccidioidomycosis
B417,WJ01,Disseminated paracoccidioidomycosis
B418,WJ01,Other forms of paracoccidioidomycosis
B419,WJ01,"Paracoccidioidomycosis, unspecified"
B420,WJ01,Pulmonary sporotrichosis
B421,WJ01,Lymphocutaneous sporotrichosis
B427,WJ01,Disseminated sporotrichosis
B428,WJ01,Other forms of sporotrichosis
B429,WJ01,"Sporotrichosis, unspecified"
B430,WJ01,Cutaneous chromomycosis
B431,WJ01,Phaeomycotic brain abscess
B432,WJ01,Subcutaneous phaeomycotic abscess and cyst
B438,WJ01,Other forms of chromomycosis
B439,WJ01,"Chromomycosis, unspecified"
B440,DZ11,Invasive pulmonary aspergillosis
B441,DZ11,Other pulmonary aspergillosis
B442,WJ01,Tonsillar aspergillosis
B447,WJ01,Disseminated aspergillosis
B448,WJ01,Other forms of aspergillosis
B449,WJ01,"Aspergillosis, unspecified"
B450,WJ01,Pulmonary cryptococcosis
B451,WJ01,Cerebral cryptococcosis
B452,WJ01,Cutaneous cryptococcosis
B453,WJ01,Osseous cryptococcosis
B457,WJ01,Disseminated cryptococcosis
B458,WJ01,Other forms of cryptococcosis
B459,WJ01,"Cryptococcosis, unspecified"
B460,WJ01,Pulmonary mucormycosis
B461,WJ01,Rhinocerebral mucormycosis
B462,WJ01,Gastrointestinal mucormycosis
B463,WJ01,Cutaneous mucormycosis
B464,WJ01,Disseminated mucormycosis
B465,WJ01,"Mucormycosis, unspecified"
B468,WJ01,Other zygomycoses
B469,WJ01,"Zygomycosis, unspecified"
B470,WJ01,Eumycetoma
B471,WJ01,Actinomycetoma
B479,WJ01,"Mycetoma, unspecified"
B480,WJ01,Lobomycosis
B481,WJ01,Rhinosporidiosis
B482,WJ01,Allescheriasis
B483,FD01,Geotrichosis
B484,WJ01,Penicillosis
B487,WJ01,Opportunistic mycoses
B488,WJ01,Other specified mycoses
B49X,WJ01,Unspecified mycosis
B500,WJ02,Plasmodium falciparum malaria with cerebral complications
B508,WJ01,Other severe and complicated Plasmodium falciparum malaria
B509,WJ02,"Plasmodium falciparum malaria, unspecified"
